2002-07-09	14:56	0.0390000018524	40.2699990999
2002-07-11	14:48	0.138000006555	41.9399990626
2002-07-12	15:25	0.216000010259	35.969999196
2002-07-13	14:30	0.289000013727	43.799999021
2002-07-15	14:22	0.225000010687	45.7899989765
2002-07-16	15:00	0.211000010022	38.6899991352
2002-07-22	14:26	0.0230000010924	43.8999990188
2002-07-23	15:14	0.0210000009974	36.7799991779
2002-07-28	15:25	0.278000013204	33.4999992512
2002-07-30	15:17	0.0870000041323	34.6799992248
2002-07-31	14:23	0.0510000024224	43.7899990212
2002-08-01	15:00	0.0970000046073	36.1599991918
2002-08-03	14:52	0.150000007125	37.7999991551
2002-08-04	15:39	0.121000005747	31.1599993035
2002-08-05	14:44	0.0580000027549	39.5399991162
2002-08-06	15:22	0.111000005272	32.2699992787
2002-08-07	14:27	0.279000013252	41.3699990753
2002-08-08	15:14	0.367000017432	33.6799992472
2002-08-09	14:19	0.252000011969	43.3599990308
2002-08-10	14:56	0.472000022419	35.1799992137
