Date_MODIS	Time_MODIS	AOD_MODIS	Time_AERONET	AOD_AERONET
2015-12-03	18:41	0.138000006555	NaN	NaN
2015-12-08	18:59	0.0975555601892	19:17:16	0.14936738900000002
2015-12-11	17:52	0.109000005177	NaN	NaN
2015-12-12	18:34	0.110428576674	NaN	NaN
2015-12-15	19:05	0.0925555599517	NaN	NaN
2015-12-17	18:53	0.171000008122	NaN	NaN
2015-12-28	18:34	0.167000007932	NaN	NaN
2015-12-31	19:05	0.118777783419	NaN	NaN
2016-01-02	18:53	0.10570000502	NaN	NaN
2016-01-13	18:34	0.10400000494	NaN	NaN
2016-01-16	19:05	0.204444454155	NaN	NaN
2016-01-18	18:53	0.17180000816	NaN	NaN
2016-01-25	18:59	0.161888896578	NaN	NaN
2016-01-28	17:52	0.178666675153	NaN	NaN
2016-02-03	18:53	0.120600005728	NaN	NaN
2016-02-05	18:41	0.123200005852	NaN	NaN
2016-02-12	18:47	0.25790001225	NaN	NaN
2016-02-13	17:52	0.149100007082	NaN	NaN
2016-02-19	18:53	0.186333342184	NaN	NaN
2016-02-21	18:41	0.199333342801	NaN	NaN
2016-02-26	18:59	0.242000011494	NaN	NaN
2016-02-28	18:47	0.126333339334	NaN	NaN
2016-03-01	18:35	0.125125005943	NaN	NaN
2016-03-04	19:05	0.155600007391	NaN	NaN
2016-03-06	18:53	0.222333343894	NaN	NaN
2016-03-07	17:58	0.140666673348	NaN	NaN
2016-03-08	18:41	0.0930000044173	NaN	NaN
2016-03-09	17:46	0.12780000607	NaN	NaN
2016-03-13	18:59	0.164250007801	NaN	NaN
2016-03-15	18:47	0.110666671923	NaN	NaN
2016-03-17	18:35	0.097500004631	NaN	NaN
2016-03-20	19:06	0.184200008749	NaN	NaN
2016-03-23	17:58	0.308666681328	NaN	NaN
2016-03-24	18:41	0.184250008751	NaN	NaN
2016-03-25	17:46	0.152400007239	NaN	NaN
2016-03-29	19:00	0.0840000039898	NaN	NaN
2016-03-31	18:48	0.0967777823745	NaN	NaN
2016-04-02	18:35	0.118222227837	NaN	NaN
2016-04-07	18:54	0.1864444533	NaN	NaN
2016-04-09	18:42	0.318500015128	NaN	NaN
2016-04-23	18:54	0.115777783277	NaN	NaN
2016-04-25	18:42	0.0956666712106	NaN	NaN
2016-04-27	18:29	0.081777781662	NaN	NaN
2016-05-01	18:05	0.273666679665	NaN	NaN
2016-05-04	18:35	0.143000006792	NaN	NaN
2016-05-09	18:53	0.0980000046548	NaN	NaN
2016-05-10	17:58	0.131500006246	NaN	NaN
2016-05-11	18:41	0.091900004365	NaN	NaN
2016-05-12	17:46	0.0830000039423	NaN	NaN
2016-05-13	18:29	0.151000007172	NaN	NaN
2016-05-16	18:59	0.138000006555	NaN	NaN
2016-05-18	18:47	0.110200005234	NaN	NaN
2016-05-20	18:35	0.0937500044529	NaN	NaN
2016-05-22	18:22	0.0890000042273	NaN	NaN
2016-05-23	19:05	0.108333338479	NaN	NaN
2016-05-24	18:10	0.0973333379564	NaN	NaN
2016-05-25	18:53	0.104166671614	NaN	NaN
2016-05-27	18:41	0.146000006935	NaN	NaN
2016-05-29	18:28	0.134500006388	NaN	NaN
2016-05-31	18:16	0.154000007315	NaN	NaN
2016-06-01	18:59	0.195000009262	NaN	NaN
2016-06-02	18:04	0.226500010758	NaN	NaN
2016-06-03	18:47	0.187000008882	NaN	NaN
2016-06-07	18:22	0.18400000874	NaN	NaN
